year,dwellings,transport,machinery,intangible,other,investment,gdp,realgdp,realinv
1976,2566,1364,4157,170,4090,25640,,,
1977,5699,3248,9950,797,8657,28351,146973,652875,89594
1978,6325,4112,11709,760,9481,32387,169344,673990,91877
1979,7649,4758,13832,1020,11289,38548,199220,692087,94974
1980,8674,4707,15301,1250,13680,43612,233184,678013,90533
1981,8138,4011,15454,1540,14603,43746,256279,669765,82627
1982,8920,4489,16734,2062,15730,47935,281024,684517,87594
1983,10447,4756,18377,2362,16157,52099,307207,709783,92020
1984,11932,5963,20782,2893,17708,59278,329913,728887,100390
1985,12219,6676,24349,3289,18648,65181,361758,755300,104575
1986,14140,6527,25218,3219,20477,69581,389149,785620,106867
1987,16548,7871,28226,3430,24269,80344,428665,821461,116997
1988,21097,9228,32615,4303,30713,97956,478510,862797,134369
1989,22771,10625,38419,4974,36689,113478,525274,882481,142560
1990,21048,10572,37776,6297,41334,117027,570283,889358,139405
1991,18339,9051,35094,6722,38632,107838,598664,876974,128083
1992,18826,8420,35426,6584,34657,103913,622080,878260,126926
1993,19886,9315,35316,6492,32988,103997,654196,897777,126616
1994,21155,11395,38426,6702,33945,111623,692987,936204,132428
1995,22448,11036,45012,7272,35596,121364,733266,964780,136318
1996,22516,12519,50102,7889,37320,130346,781726,992617,143722
1997,23928,12580,51465,8936,41398,138307,830094,1025447,153501
1998,25222,16113,58915,9461,46286,155997,879102,1062433,174514
1999,25700,14683,60670,10023,50646,161722,928730,1099327,179686
2000,27394,13577,63535,10670,51996,167172,976533,1142372,184565
2001,29806,14656,60929,11326,55065,171782,1021828,1170489,189336
2002,34499,16314,57152,12614,59972,180551,1075564,1195035,196241
2003,38462,15592,54441,13850,64355,186700,1139746,1228595,198365
2004,44298,14339,59632,14164,67982,200415,1202956,1264852,208484
2005,47489,14763,59486,14386,73634,209758,1254058,1292335,213576
2006,53331,14855,61497,15531,82020,227234,1328363,1328363,227234
2007,55767,15482,69411,16049,92808,249517,1404845,1364029,245053
2008,50292,14570,67837,16726,90936,240361,1445580,1363139,232777
2009,37044,12127,56411,17710,80978,204270,1394989,1296689,197548
