date,unemp
2012-01-01,2612
2012-02-01,2611
2012-03-01,2565
2012-04-01,2458
2012-05-01,2472
2012-06-01,2561
2012-07-01,2584
2012-08-01,2586
2012-09-01,2573
2012-10-01,2512
2012-11-01,2442
2012-12-01,2432
2013-01-01,2536
2013-02-01,2509
2013-03-01,2460
2013-04-01,2407
2013-05-01,2449
2013-06-01,2495
2013-07-01,2563
2013-08-01,2558
2013-09-01,2470
2013-10-01,2325
2013-11-01,2271
2013-12-01,2245
2014-01-01,2220
2014-02-01,2191
2014-03-01,2105
2014-04-01,2001
2014-05-01,1992
2014-06-01,2003
2014-07-01,2013
2014-08-01,2015
2014-09-01,1998
2014-10-01,1888
2014-11-01,1771
2014-12-01,1750
